place,catu,sexe,secu1,year_acc,victim_age,catv,obsm,motor,catr,circ,surf,situ,vma,jour,mois,lum,dep,com,agg_,int,atm,col,lat,long,hour,nb_victim,nb_vehicules
1,1,1,2.0,2021,34.0,30.0,2.0,1.0,3,2.0,1.0,1.0,50.0,17,10,5,92,92040,2,3,0.0,3.0,48.8239649113,2.2728449106,2,3,2
1,1,1,2.0,2021,56.0,33.0,2.0,1.0,1,3.0,1.0,1.0,110.0,22,10,1,91,91434,1,1,0.0,2.0,48.6690193032,2.3516964912,13,2,2
1,1,1,1.0,2021,42.0,7.0,2.0,1.0,4,3.0,1.0,1.0,50.0,30,4,1,45,45234,2,1,0.0,2.0,47.90636,1.92193,9,2,2
1,1,1,1.0,2021,24.0,7.0,2.0,1.0,4,2.0,2.0,1.0,50.0,3,2,1,19,19031,2,2,1.0,3.0,45.15958,1.502,13,2,2
2,2,1,1.0,2021,20.0,7.0,0.0,1.0,4,2.0,1.0,3.0,50.0,13,12,3,60,60057,2,1,0.0,6.0,49.41274,2.10612,19,2,1
1,1,1,2.0,2021,49.0,1.0,2.0,5.0,4,2.0,1.0,5.0,30.0,19,8,1,75,75107,2,1,0.0,1.0,48.858805,2.331577,19,2,2
5,2,2,8.0,2021,16.0,7.0,0.0,1.0,3,2.0,1.0,1.0,80.0,29,10,5,63,63207,1,1,0.0,6.0,45.658043,3.675013,21,5,1
1,1,1,2.0,2021,16.0,2.0,0.0,1.0,4,2.0,1.0,1.0,50.0,18,3,1,49,49099,2,1,0.0,7.0,47.06172,-0.88649,17,2,2
1,1,1,2.0,2021,24.0,33.0,2.0,1.0,3,2.0,1.0,1.0,80.0,16,2,1,12,12290,1,1,0.0,2.0,44.435249,2.194812,16,2,2
1,1,1,1.0,2021,22.0,7.0,2.0,1.0,7,3.0,2.0,1.0,70.0,8,8,5,44,44109,1,2,1.0,3.0,47.26018,-1.49946,1,5,2
1,1,1,2.0,2021,38.0,33.0,0.0,1.0,3,2.0,1.0,1.0,80.0,5,6,1,14,14552,1,1,0.0,7.0,49.301789,-0.606995,11,1,1
7,2,1,1.0,2021,5.0,7.0,2.0,1.0,3,2.0,1.0,1.0,80.0,22,8,1,27,27693,1,2,0.0,3.0,48.918988,1.10625,15,4,2
1,1,1,2.0,2021,43.0,31.0,2.0,1.0,4,2.0,1.0,1.0,50.0,10,10,5,67,67482,2,1,0.0,2.0,48.58031,7.71883,22,2,2
